rechnungsnummer;anzahl_versionen;version;createdAt;aktualisiertAm;dokumentTyp;rechnungsStatus;bruttobetrag_eur;kundenname;kundennummer;projektId;docId;dateiId;dateiname;storno_zu;stornoGrund
RE-2026-0337;2;1;2026-03-27 10:03:50;2026-03-27 11:34:37;rechnung;storniert;1163,94;TC Mainstockheim e.V.;428;696e3ee40024691f5505;69c65606001a383cd277;69c65606000560ff42ff;Rechnung TC Mainstockheim e.V. 2026.pdf;;"fragt ob wir folie erlassen können weil broke

"
RE-2026-0337;2;2;2026-03-27 11:34:58;2026-03-27 11:34:58;rechnung;(kein Status);1142,28;TC Mainstockheim e.V.;428;696e3ee40024691f5505;69c66b62000370ec990e;69c66b5e002b26de4f77;Rechnung TC Mainstockheim e.V. 2026.pdf;;
RE-2026-0383;3;1;2026-04-01 07:17:21;2026-04-10 15:13:55;rechnung;storniert;871,38;SV Bieberehren - Tennisabteilung -;317;696cf343000eb43a28cf;69ccc681002f2ac57dcb;69ccc68100183c7c491f;Rechnung SV Bieberehren - Tennisabteilung - 2026.pdf;;flasche menge und disel preis pauschale
RE-2026-0383;3;2;2026-04-10 15:14:43;2026-04-10 15:19:06;rechnung;storniert;1132,68;SV Bieberehren - Tennisabteilung -;317;696cf343000eb43a28cf;69d913e30000be0bfe7e;69d913df00011de559bc;Rechnung SV Bieberehren - Tennisabteilung - 2026.pdf;;doch falsche menge
RE-2026-0383;3;3;2026-04-10 15:19:29;2026-04-10 15:19:29;rechnung;(kein Status);897,77;SV Bieberehren - Tennisabteilung -;317;696cf343000eb43a28cf;69d91501000e1a31b549;69d914fc002f4f17f68b;Rechnung SV Bieberehren - Tennisabteilung - 2026.pdf;;
RE-2026-0440;2;1;2026-04-01 17:36:49;2026-04-01 17:47:02;rechnung;storniert;1385,09;PTS Tennisplatz- und Sportanlagenbau GmbH;K10178;69c53233003cb374e509;69cd57b100172aacfba4;69cd57b10002134efeec;Rechnung Frankfurt Griesheim - PTS Tennisplatz- und Sportanlagenbau GmbH 2026.pdf;;falsche Menge
RE-2026-0440;2;2;2026-04-01 17:47:32;2026-04-01 17:47:32;rechnung;(kein Status);1106,34;PTS Tennisplatz- und Sportanlagenbau GmbH;K10178;69c53233003cb374e509;69cd5a34000bd2d76116;69cd5a3300341316e409;Rechnung Frankfurt Griesheim - PTS Tennisplatz- und Sportanlagenbau GmbH 2026.pdf;;
RE-2026-0447;2;1;2026-04-01 18:15:27;2026-04-13 06:47:28;rechnung;storniert;995,55;Deutsche Jugendkraft DJK-  Sportverein Retzstadt e.V. ;289;696cc95a001e85bd4502;69cd60bf002b2c1812f7;69cd60bf001457331170;Rechnung DJK Retzstadt 2026.pdf;;fehlerhafte Rechnungsadresse
RE-2026-0447;2;2;2026-04-13 06:48:20;2026-04-13 06:48:20;rechnung;(kein Status);995,55;Deutsche Jugendkraft DJK-  Sportverein Retzstadt e.V. ;289;696cc95a001e85bd4502;69dc91b4002fd8506b32;69dc91b4001486fc3ca3;Rechnung Deutsche Jugendkraft DJK- Sportverein Retzstadt e.V. 2026.pdf;;
RE-2026-0462;2;1;2026-04-01 18:53:44;2026-04-01 18:53:56;rechnung;storniert;1248,00;TC Blau Weiss im ASC Dudweiler;K10106;69a82cbc000643f370ee;69cd69b80005fbba0701;69cd69b7002a60bd910f;Rechnung TC Blau Weiss im ASC Dudweiler 2026.pdf;;falsche Menge
RE-2026-0462;2;2;2026-04-01 18:55:16;2026-04-01 18:55:16;rechnung;(kein Status);1255,45;TC Blau Weiss im ASC Dudweiler;K10106;69a82cbc000643f370ee;69cd6a14001eb0bc3d46;69cd6a14000872f81d79;Rechnung TC Blau Weiss im ASC Dudweiler 2026.pdf;;
RE-2026-0499;2;1;2026-04-03 08:49:59;2026-04-03 08:50:11;rechnung;storniert;945,63;SV Königshofen;331;6964fd1d002103bd826f;69cf7f36003d28317881;69cf7f360025ea66068f;Rechnung SV Königshofen 2026.pdf;;"dieselpreis
"
RE-2026-0499;2;2;2026-04-03 09:23:13;2026-04-03 09:23:13;rechnung;(kein Status);969,20;SV Königshofen;331;6964fd1d002103bd826f;69cf87010016d52d93b0;69cf8700003ceac0927c;Rechnung SV Königshofen 2026.pdf;;
RE-2026-0626;2;1;2026-04-18 16:20:00;2026-04-18 17:09:16;rechnung;storniert;1067,38;TC 1979 Brensbach e.V.;K10119;69ca3b4d0009ef8fe3da;69e3af300008d67e9758;69e3af2f002c3479ddcf;Rechnung TC 1979 Brensbach e.V. 2026.pdf;;falsche Rechnungsadresse
RE-2026-0626;2;2;2026-04-18 17:10:01;2026-04-18 17:10:01;rechnung;(kein Status);1067,38;TC 1979 Brensbach e.V.;K10119;69ca3b4d0009ef8fe3da;69e3bae9000988269a84;69e3bae8002ecf2eacc0;Rechnung TC 1979 Brensbach e.V. - Averbeck GmbH Tennisplatzbau und Beregnungsanlagen 2026.pdf;;
RE-2026-0640;2;1;2026-04-18 16:39:07;2026-04-18 17:06:14;rechnung;storniert;2399,36;TC Blau Weiss Bad Neustadt a.d. Saale;K10118;69ce4cef000f54e47b7a;69e3b3ab002995081e61;69e3b3ab0010dae63295;Rechnung TC Blau Weiss Bad Neustadt a.d. Saale 2026.pdf;;Falsche Rechnungsadresse
RE-2026-0640;2;2;2026-04-18 17:08:25;2026-04-18 17:08:25;rechnung;(kein Status);2136,48;TC Blau Weiss Bad Neustadt a.d. Saale;K10118;69ce4cef000f54e47b7a;69e3ba8900098ce85594;69e3ba88002da28ecd6a;Rechnung TC Blau Weiss Bad Neustadt a.d. Saale - Averbeck GmbH Tennisplatzbau und Beregnungsanlagen 2026.pdf;;
RE-2026-0661;2;1;2026-04-18 16:58:31;2026-04-18 17:03:42;rechnung;storniert;1395,45;TC Reichelsheim e.V.;K10137;69ca3b4c001e70945d2b;69e3b8370004f79559df;69e3b83600299e611916;Rechnung TC Reichelsheim e.V. 2026.pdf;;Fehlerhafte Rechungsadresse
RE-2026-0661;2;2;2026-04-18 17:04:35;2026-04-18 17:04:35;rechnung;(kein Status);1395,45;TC Reichelsheim e.V.;K10137;69ca3b4c001e70945d2b;69e3b9a30012c3d9b7be;69e3b9a200391b94206a;Rechnung TC Reichelsheim e.V. - Averbeck GmbH Tennisplatzbau und Beregnungsanlagen 2026.pdf;;
RE-2026-0721;2;1;2026-04-21 14:00:43;2026-04-24 11:27:04;rechnung;storniert;575,96;LSB Thüringen Sportmanagement GmbH Landessportschule;513;69bc1c42000bd36ae745;69e7830b000c05f1839d;69e7830a0034e48ed6c4;Rechnung TC 91 Bad Blankenburg e.V. 2026.pdf;;Rechnungsadresse falsch
RE-2026-0721;2;2;2026-04-24 11:28:04;2026-04-24 11:28:04;rechnung;(kein Status);575,96;LSB Thüringen Sportmanagement GmbH Landessportschule;513;69bc1c42000bd36ae745;69eb53c4002d31942cd0;69eb53c40017d61c84a2;Rechnung TC 91 Bad Blankenburg e.V. - LSB Thüringen Sportmanagement GmbH Landessportschule 2026.pdf;;
RE-2026-0722;2;1;2026-04-21 14:06:19;2026-04-21 15:00:11;rechnung;storniert;788,76;Sportpark Heppenheim GmbH;K10109;69a82fe5002e79efd30b;69e7845b00006b2e3eb7;69e7845a00271807ca10;Rechnung Sportpark Heppenheim 2026.pdf;;Rechnungsadressenkorrektur
RE-2026-0722;2;2;2026-04-21 15:01:00;2026-04-21 15:01:00;rechnung;(kein Status);788,76;Sportpark Heppenheim GmbH;K10109;69a82fe5002e79efd30b;69e7912c000cfa169b85;69e7912b00343da33d43;Rechnung Sportpark Heppenheim GmbH 2026.pdf;;
RE-2026-0725;2;1;2026-04-21 14:24:08;2026-04-21 14:29:50;rechnung;storniert;816,04;TSV Sparwiesen e.V.;K10018;6992e20800322dd47480;69e78888000beb674dba;69e7888700332c035d0e;Rechnung TSV Sparwiesen e.V. 2026.pdf;;fehelrhafte Rechnungsadresse
RE-2026-0725;2;2;2026-04-21 14:34:16;2026-04-21 14:34:16;rechnung;(kein Status);816,04;TSV Sparwiesen e.V.;K10018;6992e20800322dd47480;69e78ae80020401fe4dc;69e78ae8000ab48cf703;Rechnung TSV Sparwiesen e.V. - Thomas Vogl 2026.pdf;;
RE-2026-0797;2;1;2026-04-28 17:37:54;2026-05-18 06:44:43;rechnung;storniert;3298,42;TSV 1897 Grafenrheinfeld e. V.;382;695e2b810020c3eb419c;69f0f072002e593278ed;69f0f0720014cc807e49;Rechnung TSV 1897 Grafenrheinfeld e. V. 2026.pdf;;korrektur Regiestunden
RE-2026-0797;2;2;2026-05-18 06:49:39;2026-05-18 06:49:39;rechnung;(kein Status);3184,54;TSV 1897 Grafenrheinfeld e. V.;382;695e2b810020c3eb419c;6a0ab68300017159ace6;6a0ab682002250a20f7a;Rechnung TSV 1897 Grafenrheinfeld e. V. 2026.pdf;;
RE-2026-0835;2;1;2026-05-06 14:22:02;2026-05-06 14:24:50;rechnung;storniert;1812,87;Garten- und Landschaftsbau Catalkaya ;;69c36da1001fbb275c12;69fb4e8a003adaf0f1ad;69fb4e8a001a10565b82;Rechnung TC LICHTENFELS - Garten- und Landschaftsbau Catalkaya 2026.pdf;;falscher preis
RE-2026-0835;2;2;2026-05-06 14:25:18;2026-05-06 14:25:18;rechnung;(kein Status);2099,79;Garten- und Landschaftsbau Catalkaya ;;69c36da1001fbb275c12;69fb4f4e003510fd99e5;69fb4f4e0019bcd84d5d;Rechnung TC LICHTENFELS - Garten- und Landschaftsbau Catalkaya 2026.pdf;;
